"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","RESIDENCEAREATYPE (CODE)","RESIDENCEAREATYPE (DISPLAY)","RESIDENCEAREATYPE (URL)","Display Value","Numeric","Low","High","Comments"
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","ERI","Eritrea","","RUR","Rural","","1","1.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","MOZ","Mozambique","","RUR","Rural","","2","2.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","BEN","Benin","","RUR","Rural","","3","3.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","KHM","Cambodia","","TOTL","Total","","3","3.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","GNB","Guinea-Bissau","","RUR","Rural","","4","4.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","BFA","Burkina Faso","","RUR","Rural","","5","5.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","TGO","Togo","","RUR","Rural","","5","5.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","ETH","Ethiopia","","RUR","Rural","","6","6.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","TCD","Chad","","RUR","Rural","","6","6.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","TZA","United Republic of Tanzania","","TOTL","Total","","7","7.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","TZA","United Republic of Tanzania","","RUR","Rural","","7","7.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","SEAR","South-East Asia","","IND","India","","RUR","Rural","","7","7.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","AFR","Africa","","BFA","Burkina Faso","","TOTL","Total","","8","8.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","GIN","Guinea","","RUR","Rural","","8","8.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","GNB","Guinea-Bissau","","RUR","Rural","","8","8.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2010","2010","","AFR","Africa","","MWI","Malawi","","RUR","Rural","","8","8.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2005","2005","","AFR","Africa","","NER","Niger","","TOTL","Total","","8","8.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1990","1990","","WPR","Western Pacific","","PLW","Palau","","RUR","Rural","","8","8.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","2000","2000","","AFR","Africa","","BEN","Benin","","TOTL","Total","","9","9.00000","","",""
"WHS5_158","Population using improved sanitation facilities (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=9","PUBLISHED","Published","","1995","1995","","AFR","Africa","","MRT","Mauritania","","RUR","Rural","","9","9.00000","","",""
